Item Number,Item Name,Office #,UPC Code,On Hand,Wholesale Cost 1,Total Wholesale Cost 2,Your Cost 3,Total Your Cost 4,Retail Price 5,Total Retail Price 6,Profit,Wholesale Cost 1 (GBP),Total Wholesale Cost 2 (GBP),Your Cost 3 (GBP),Total Your Cost 4 (GBP),Retail Price 5 (GBP),Total Retail Price 6 (GBP)
400056025505,CORTLAND BLACK GUNMETAL 55/17/145,19871.0,886453626468.0,2.0,59.99,119.98,59.99,119.98,200.0,400.0,280.02,44.99,89.98,44.99,89.98,150.0,300.0
400056025499,CORTLAND GREEN SLATE 55/17/145,19871.0,886453626413.0,1.0,59.99,59.99,59.99,59.99,190.0,190.0,130.01,44.99,44.99,44.99,44.99,142.5,142.5
400056025444,DELANEY PARK BLUE HORN 50/18/135,19871.0,886453614939.0,1.0,59.99,59.99,59.99,59.99,200.0,200.0,140.01,44.99,44.99,44.99,44.99,150.0,150.0
400056025420,DELANEY PARK GREY CRYSTAL 50/18/135,19871.0,886453614915.0,1.0,59.99,59.99,59.99,59.99,200.0,200.0,140.01,44.99,44.99,44.99,44.99,150.0,150.0
400056025437,DELANEY PARK VIOLET HORN 50/18/135,19871.0,886453614922.0,1.0,59.99,59.99,59.99,59.99,200.0,200.0,140.01,44.99,44.99,44.99,44.99,150.0,150.0
400056025390,GLENWILD PARK BLACK LAMINATE 52/15/135,19871.0,886453612683.0,1.0,59.99,59.99,59.99,59.99,200.0,200.0,140.01,44.99,44.99,44.99,44.99,150.0,150.0
400056025406,GLENWILD PARK SAND CRYSTAL 52/15/135,19871.0,886453612744.0,2.0,59.99,119.98,59.99,119.98,200.0,400.0,280.02,44.99,89.98,44.99,89.98,150.0,300.0
400056025413,GLENWILD PARK VIOLET HORN 52/15/135,19871.0,886453612782.0,1.0,59.99,59.99,59.99,59.99,200.0,200.0,140.01,44.99,44.99,44.99,44.99,150.0,150.0
400056024706,LAKELAND PARK BLUSH 51/16/135,19871.0,886453581309.0,1.0,59.99,59.99,59.99,59.99,190.0,190.0,130.01,44.99,44.99,44.99,44.99,142.5,142.5
400056024737,LAKELAND PARK BLUSH 53/16/140,19871.0,886453581422.0,1.0,59.99,59.99,59.99,59.99,200.0,200.0,140.01,44.99,44.99,44.99,44.99,150.0,150.0
400056024713,LAKELAND PARK BROWN HORN 51/16/135,19871.0,886453581347.0,1.0,59.99,59.99,59.99,59.99,200.0,200.0,140.01,44.99,44.99,44.99,44.99,150.0,150.0
400056024720,LAKELAND PARK BROWN HORN 53/16/140,19871.0,886453581385.0,1.0,59.99,59.99,59.99,59.99,190.0,190.0,130.01,44.99,44.99,44.99,44.99,142.5,142.5
400056024799,MANOR PARK BLACK LAMINATE 50/16/130,19871.0,886453589091.0,1.0,59.99,59.99,59.99,59.99,200.0,200.0,140.01,44.99,44.99,44.99,44.99,150.0,150.0
400056024843,MANOR PARK BLACK LAMINATE 52/16/135,19871.0,886453589329.0,1.0,59.99,59.99,59.99,59.99,200.0,200.0,140.01,44.99,44.99,44.99,44.99,150.0,150.0
400056024805,MANOR PARK BROWN PURPLE FADE 50/16/130,19871.0,886453589169.0,1.0,59.99,59.99,59.99,59.99,190.0,190.0,130.01,44.99,44.99,44.99,44.99,142.5,142.5
400056024836,MANOR PARK BROWN PURPLE FADE 52/16/135,19871.0,886453589282.0,1.0,59.99,59.99,59.99,59.99,200.0,200.0,140.01,44.99,44.99,44.99,44.99,150.0,150.0
400056024812,MANOR PARK TORTOISE MULTI 50/16/130,19871.0,886453589206.0,1.0,59.99,59.99,59.99,59.99,200.0,200.0,140.01,44.99,44.99,44.99,44.99,150.0,150.0
400056026373,PENWOOD PARK BROWN MULTI 53/16/140,19871.0,886453684895.0,1.0,59.99,59.99,59.99,59.99,200.0,200.0,140.01,44.99,44.99,44.99,44.99,150.0,150.0
400056026380,PENWOOD PARK GREY FADE 53/16/140,19871.0,886453684932.0,2.0,59.99,119.98,59.99,119.98,200.0,400.0,280.02,44.99,89.98,44.99,89.98,150.0,300.0
400056025741,SETON PARK BLACK FADE 52/18/145,19871.0,886453631165.0,1.0,59.99,59.99,59.99,59.99,200.0,200.0,140.01,44.99,44.99,44.99,44.99,150.0,150.0
